ID,CENTER,DOORS,LINK1,LINK2,LINK3,LINK4,LINK5,LINK6
ROW92,Blank,"5",BCBSDSH,BBBBBBB,BBBBBBB,HCDPHHB,HHPHBSD,SSDBHTS
ROW93,Blank,"1",BCBSPCD,BDDDBCT,CBDHTBP,HHBTTCB,STHCSTT,BDDTBCD
ROW94,Blank,"2,6",BCCBHDC,HDSSBCP,DDSTPCP,BSHPDBT,BPPSDHS,CCCDCCS
ROW95,Plus,"5",BCCBPBD,BPSBPCP,SPBCBCC,PHDSHSD,DCTSTCH,HCHDTBT
ROW96,Blank,"1,3,5",BCCCBST,TBBBTPS,PSPSSBT,PHSHCHT,BSPBBDH,PSTSDBT
ROW97,Blank,"3,6",BCCCPTD,BPSCBSS,TBBSCDD,TDTBCTC,CCPHBDB,BDTHDDS
ROW98,Blank,"2,5",BCCCTPB,DBSPDPT,PHDPTDC,CCTBSHC,PSBBSSD,SBDHDBH
ROW99,Blank,"4,6",BCCDTTD,HHBTTCP,CBSDBPC,SPCHPTP,PTHCTHH,STDSTTH
ROW100,Blank,"2,4",BCCPPCC,DPTSCDB,HHBCBHS,TTDBDBS,HTDTDTP,SDBTTBS
ROW101,Blank,"1",BCCPPPS,TTHSHPS,BBDCSTH,DHDHSDT,PPBSCTT,PCPDSSS
ROW102,Blank,"2,5",BCCPSBH,PPDCPDB,STCPTHH,TDPDBDS,TBBTCHB,THBDCSD
ROW103,Blank,"2,3,4,5",BCCPTPT,DTHSCCT,HBBPCBD,SSHPSHT,PPBTBHT,CBDCBHH
ROW104,Blank,"2,3,4,6",BCCTBSD,HTBDBPT,PBCCCCS,TPDSPPP,CTTPHTC,CSHSBTP
ROW105,Blank,"2,6",BCCTCSP,PBBPCTC,CBDCBCC,SBDHDHH,BHPHCHD,PSTTTBT
ROW106,Clover,"1,2",BCDDBCD,BCBPDPT,SPSHHTT,TSSTPTS,BTTTCTD,DHBHPTS
ROW107,Blank,"3,6",BCDSCCT,TBHSCBH,DBBDBTD,DDCTTCC,CTSBDTP,PPSDCPS
ROW108,Diamond,"5",BCDSSTD,HTHPHSD,TSPCHTT,BCCPTPT,DTDCBCH,SBCTSST
ROW109,Blank,"3",BCDTTHP,TSSCHDP,DPHPHTB,TCHDCPT,TCTHTHC,SPPTSSC
ROW110,Blank,"2",BCDTTHT,HBHSHHH,DDCPPDC,PPPTPSC,HHTPCTP,DTHSSSP
ROW111,Blank,"2",BCHBBTB,SCSSDTB,HSCBBST,PTBCBTC,BPBSCTP,BSCDTTT
ROW112,Blank,"3",BCHBHTT,BPCSBBD,PPSBSBP,SPSDPTP,DDPCTHP,SHHPCSD
ROW113,Diamond,"5",BCHDBBH,BCPTDPD,PBDHDCS,DHPCBBP,HDPSPBS,CBTCSHT
ROW114,Blank,"4",BCHHBDT,DBHDBCD,TBDBHCP,PTSBPSD,BDTSCCC,HHPDCDP
ROW115,Blank,"3",BCHHPSP,TPPPPSB,PSCPCDH,SDSCPSP,PHSCCPS,SBSBDTS
ROW116,Blank,"6",BCHPPBH,PSHCSCC,DHBHSSP,HSCBBHC,HPCHBDT,HHBSPCH
ROW117,Blank,"1,3,6",BCHPPCT,BBSTSCS,HSBSDBP,DBSPHSD,BTDTBTH,CPPCSTH
ROW118,Blank,"2",BCHPTTP,HPHSTTS,CTCSDHT,HBHCHDH,CHBPSTC,THSDPPS
ROW119,Blank,"5,6",BCPDTSD,TCHBDBH,DBHDSHD,SPPHDTS,DBHBCTH,DPCDTTB
ROW120,Blank,"3,6",BCPPPDD,BBSBHSS,HPSTPSS,BTSHPTP,TCTSPBS,SPTPBHC
ROW121,Blank,"3,6",BCSBPPB,DPHHTST,PHSBPSS,TPBPHPB,SPBSHBD,TCDSDHP
ROW122,Blank,"3",BCSCBDB,DTHDCCD,TBDPSSS,PTCCBBS,BDBDTPB,STHTCPS
ROW123,Clover,"1,2,3,6",BCSCCCH,DPPCTBT,DSPSCHH,BBCHBPP,BPCDDHC,DHSHHPT
ROW124,Blank,"3,4,5",BCSDPSD,CHCDBDH,DDCBSTH,BSHBTCD,PBDHCSC,TSTDHDD
ROW125,Blank,"1,4",BCSHDHD,BBPPHSS,CPHBDBT,CBPTCBS,BDHDDTS,PHCPPTH
ROW126,Blank,"2,5",BCSHPST,DSDSDSD,SSCTHSP,DCDCBDP,SBDDBBP,TPSDPPC
ROW127,Diamond,"3,5,6",BCSHTBC,PCSPHTB,SBPBCPB,TTBBPTP,BBHHPST,TDCPSBD
ROW128,Plus,"3,4,6",BCSHTHH,STSBSCH,HHBSTHC,SDPHBCT,CBHPHSB,DPPSHDP
ROW129,Blank,"2,5",BCSPDHC,BHSCTTB,TPHCTCC,HTTCTCT,HTPBDDP,BHSTDHP
ROW130,Snake,"1",BCTBCBD,BDHHBDD,SDHHCPP,HDSDDCT,SSTDHTT,THTBDCT
ROW131,Hex,"2",BCTBPSC,TDSDPDC,TSSDCPS,BBSBSTP,DCBSCHP,CPDPCHD
ROW132,Blank,"3,5",BCTDHCP,BSBTPTT,HCTBCSH,STTHTSP,DSPTTHD,TPCHTHP
ROW133,Blank,"3",BCTHDPS,DSDDDPC,DBTBPBC,PPHHDTB,BBBBBBB,BBBBBBB
ROW134,Blank,"1",BCTHSCB,BBBBBBB,BBBBBBB,PSCDTST,CBPSTSD,BDTCBCP
ROW135,Blank,"5",BCTHTHD,BHBSHBT,CHHPTPT,PPCSCPD,BSPHSDP,PSPDDHP
ROW136,Blank,"2,3,6",BCTTDHC,HBBSHDS,DCTTDSD,HBSPPDS,BSBTBCT,PSSTDTS
ROW137,Snake,"1",BDBCTSC,PTCBTSC,CTPDPTD,CTSDHPP,CBSDHHB,CPPSBSC
ROW138,Blank,"5,6",BDBHTDT,SBPDSCB,HTDCPSH,SDPSBBT,CDPHSTB,TSBDTDT
ROW139,Blank,"2,5,6",BDBSBPC,DHDBCPB,TPPSSTP,HCPSSSD,HDHTPSP,BSDSHHP
ROW140,Blank,"5",BDBSSHB,DBCSSPP,BTCDCSC,PPHCTPB,CDTTSCP,CTTDPPB
ROW141,Blank,"3,6",BDCCTCD,PHDSTHB,DCCPTPB,DSTDSHH,DPHDHTS,DPBBBTC
ROW142,Blank,"3,5,6",BDCHHPH,DPPHTTH,HCTCDCT,DTSCSDH,HSDHHSS,TDTHCDD
ROW143,Blank,"1,5",BDCPHTB,DPCHBCC,PBSPSSD,PTHSTTD,TDTSSBD,TBBTSDC
ROW144,Diamond,"3",BDCSHPB,HPHCDBC,PDTSCDD,BPDDDPS,TSCHHBD,DCDBSTD
ROW145,Blank,"4",BDCSPST,BPSTTBP,TPCSPTB,DSTHCPH,THDPHHH,CDDPTTP
ROW146,Blank,"1,2,4",BDCSTCC,BDBCSBP,BBCPDDD,PTCTHCP,CCCPPDS,DTHHBDH
ROW147,Blank,"4,6",BDDCBCC,PHCBPCD,BDDCBBD,HTTHDSB,SPCDSTC,CDSDBPT
ROW148,Blank,"5",BDDCCPC,BSCCTSP,SHHDSSD,SSSHBDB,CPHPPPP,PBSPPBD
ROW149,Blank,"2,3,5",BDDCHTP,PPPDTCP,PTPCBBD,HPPTBHC,THDCSBC,THHBBPT
ROW150,Clover,"2",BDDCPTD,TTPPDPD,BSHTBSP,HCBBTPB,BBBTCSH,CDSTPBT
ROW151,Blank,"1,2,3,5",BDDDTCS,DTPTCTB,BDSSSSH,SPTSSDS,BDDBTBB,BDSTDCD
ROW152,Blank,"2,5,6",BDDTDTP,BHDDPTB,TPTTTHD,BTSSTTD,DDPPSCD,SSDTBTS
ROW153,Plus,"3,4,6",BDHBSPB,TBBSSHH,CCCPBTH,HDTTSTS,BCPHBTD,PTCPPHT
ROW154,Blank,"2,4",BDHBSPH,SBTHPPH,TBDPDDB,TBDBDDD,SPPHPPT,BSHCCTS
ROW155,Blank,"2,6",BDHCBTC,HCBDTHS,TPCHTCH,BPSDDDP,PPDHPBD,DSDHTTP
ROW156,Blank,"6",BDHDCPB,DTHHHCH,CPDSDCS,BBBBBBB,SBPCBPP,TDDHHCT
ROW157,Blank,"2,3,5",BDHPHDS,SBTTHCS,BSDDBDH,BBTCPDB,CSCCSDC,CTHHTDH
ROW158,Blank,"5",BDHTBHS,PDBTHTD,PTSCBSD,HHBSCPT,TCDSHTH,DDPHHTH
ROW159,Snake,"2,5",BDPBBBS,THTSTSH,SPPDTTC,HSPSBCB,BDCBBSH,TTTBSTB
ROW160,Blank,"1,2",BDPDDBH,PPDDTCS,BDDTBCD,THCBCPH,PPTTHHP,HBCSCCT
ROW161,Blank,"5",BDPDSBB,THTTHPP,CBCPTPH,CSTPHTH,HHHTTDP,PCPTSSP
ROW162,Blank,"5,6",BDPHCBP,TPSBTDD,STBSBHB,TBTHCTC,SHPPSDP,PPCPBHC
ROW163,Snake,"3,5",BDPSDCH,TSDBCTH,PHCHBPT,CPCHSSD,PCTBPBC,BPTBSDS
ROW164,Hex,"3,5,6",BDPSDTB,PTPTDCC,TSBPBST,HTCDDHC,BDCDHSC,SDDPSSC
ROW165,Clover,"1,4",BDPSPDC,SDBTHHT,BPTDDHH,DHPTDHS,PBDPSBD,CSBSHHD
ROW166,Blank,"3,5",BDSBBSP,TTSBPHT,SHTDTSD,HDCDDTD,CPDPTTT,TTHHCHH
ROW167,Blank,"5,6",BDSBDSH,DSCTBDD,HHDBBDH,SPTPTCH,CHHTDBD,DDTSBBP
ROW168,Blank,"2",BDSBPTT,DTBPHTP,DCTBDBS,PBTTCDS,SPPBCSP,DBCBTPC
ROW169,Blank,"2,6",BDSCPHP,SCHPDBD,DCPCDCB,BBBSPBD,DDPBHSD,TSDHCPP
ROW170,Blank,"5",BDSCTBD,HTCBPHC,HPSTCPC,DHPTPPP,CPBTBPT,CPPTTSB
ROW171,Blank,"1",BDSHPPT,DHCDCBS,STCDTCC,PPPCDPD,PPTDPTB,DCBDSDS
ROW172,Blank,"2,5",BDSPBPC,BPCCSBP,DCDSBBB,BCSDSCB,HDTTDTC,PTTPHTS
ROW173,Blank,"1,2,5",BDSSCBD,CBPTPTP,CHDHHSB,PPSHTPC,DCPBTCP,CPCSDSP
ROW174,Blank,"1,4",BDSSDDP,BBBBBBB,BBBBBBB,PBCTDSP,PSDCSHT,HDSTTHT
ROW175,Blank,"1,3,4",BDSTBCH,CBDDPCD,STBHCCC,TBDHSPB,BPDTBTC,SPTPCCP
ROW176,Blank,"1",BDSTBSH,TPDTSHT,CDTTDPB,HPHBDBB,BTDHSPT,DBPTTSD
ROW177,Blank,"3,4,6",BDTBPCD,TDBCHDD,CCDSSHH,PPBHHPS,DPTHCHT,HHDHPTS
ROW178,Blank,"1,3,5,6",BDTCSBC,DCPSTPD,DDBTHPP,HCSSSCP,DSPBBDB,DPHBCCP
ROW179,Blank,"5",BDTHBDD,PPSBSTD,HHTTDBS,SHSPSHS,DCCDDDC,DCDPSTD
ROW180,Clover,"5",BDTHHCH,BBCSPHS,PDDSHTC,PBTDPPS,HTTHBBT,DDBDCTP
ROW181,Clover,"5,6",BDTSBHD,THDPHHH,DDHSPCT,BPBSSHS,DBBHDBH,BBSBHCP
ROW182,Snake,"4",BDTSHST,TSCTBDP,SPHBHBH,CPPHSDH,CSCPHSS,TTPTPHH
ROW183,Blank,"4,5",BHBBHBP,HPBPSTB,DTHPSTH,HHPDCDT,PDDTCBB,CPHCSSC
ROW184,Blank,"1,3",BHBPHSP,PHDHHSB,PHTSPHC,CDCTSPB,PDCSBTT,DPBTTHH
ROW185,Blank,"2,5,6",BHBSDCC,PTHDCCC,STHCBBP,BBSCDPC,PBBBDDS,BDPHPBB
ROW186,Snake,"1,4",BHBSDSB,BBHBPHB,SCHBCSP,DTBBHHC,CCCDSBB,BCDDPPS
ROW187,Blank,"2,4",BHBSTCH,BTSHSBS,HSSDHBD,BBBCSDP,HPPDHSS,HCTCPTB
ROW188,Blank,"3",BHBTPDS,TTCDTCH,BDBTBCH,TSCCSPT,BBTTDSH,HBCCSPB
ROW189,Blank,"2,3,5",BHBTSHB,CBBHDST,DHPCCCT,HBSBCSC,TCPBPHT,DCSTDHC
ROW190,Blank,"5",BHCHHBP,BBHHDPT,TTCSSHB,HCBTTPT,BTTTPTT,DBSBSSS
ROW191,Blank,"5",BHCHTCC,HPHSBSH,PPSSHST,TDTDCBC,DHDHBDT,HPBBDSH
ROW192,Clover,"1,5,6",BHCHTHT,BBBBBBB,BBBBBBB,SDBSCSD,BCCCPDH,BBBSDTH
ROW193,Blank,"5",BHCPBBT,SCCCHDD,BHHPSTP,DBSPBBD,STPBTBB,DDCHTTS
ROW194,Blank,"2",BHCPSDT,PBDDHTC,BBBBBBB,BBBBBBB,BBBBBBB,SHTCPHH
ROW195,Blank,"2,6",BHCTCBD,STTPCBT,BHDHHTC,DHHPBBT,BHHTPCD,THBBPCC
ROW196,Blank,"2,4,5",BHCTDBS,CHBSTTD,DPHTCTC,DTBBPDB,HBPSDDT,CPCCDCD
ROW197,Clover,"5",BHDBBCT,BDDTTSC,BDDDBSD,BDTHCDD,THDSHBC,HBBHBCH
ROW198,Hex,"6",BHDBTPC,SPCSHBT,CCPSDPT,HHHBPHD,BBTPTHC,TCBHSST
ROW199,Blank,"1,4,5",BHDPPST,HSBBBHT,HDSTHTT,TSCPCSC,DHDSTPT,CHPBPTP
ROW200,Diamond,"2,6",BHDSHPH,BHBCPPB,BTPDTDC,BSDTBPT,CHPTHDC,TCPSCSB
ROW201,Plus,"1,4",BHDTBCB,BPTPSHS,BSDCCSP,CBCSTPB,BPPBBDB,BPDPCDC
ROW202,Snake,"6",BHHBSSC,HBHHCCP,SSDHTPH,BHDHHBT,PDPSBCH,BHBCDPP
ROW203,Blank,"2,5",BHHCSCB,THSBSBP,BHBTTTS,PSSTBTS,CPHCHPB,CPTCHPS
ROW204,Diamond,"3,5",BHHHCBC,TBHDCCD,DTDPHSH,SDPBPTC,PBDPPBP,CSHPSPC
ROW205,Clover,"2,5,6",BHHHHDB,STCCCCS,BBSHBBB,BCDSCCT,TTTTBBT,SDCSCHD
ROW206,Blank,"6",BHHTCHB,CDDTBTH,PCBCTBT,THCCDPC,BHCPPHD,HBBHTHS
ROW207,Blank,"2,3,6",BHPBDSS,CSSSBDD,SDTBSPC,DCSTPCB,SSBDSCC,DCTTDBT
ROW208,Blank,"2,5,6",BHPDHPB,HCCTTTC,DTSHTHH,CHDDBTP,HTTTCHT,PDBTCHB
ROW209,Blank,"2,3,4,5,6",BHPPHSS,DTTBPST,HHDBDDH,TDPCPDC,TCTSCHD,PDCHPDT
ROW210,Blank,"2,6",BHPTBPH,TCTTBHB,TDCTHCC,DHSTCHP,PPDHPSH,HSTSBTT
ROW211,Blank,"3,6",BHSBHTT,PPDHPSH,DTHTPSH,PPBBTPB,BPBCHTH,TCPTHDB
ROW212,Blank,"5,6",BHSBTBP,DTPTDPP,PTCHPCT,PBPBTSS,CDTHPHC,SBPSHDD
ROW213,Blank,"2,5",DDCCSDC,PCPPDCP,CCCDCCS,HTBPTCP,DBDCCBH,BHHDHPH
ROW214,Blank,"3,5",BHSCPCB,CTDHCBB,HPSHDTC,BHTCSDD,TBDTHPB,PHPTSPH
ROW215,Blank,"2,3,5",BHSCSTS,HHPPDTD,DDTSBBP,TBSPHDB,HBPCHCP,SBPSHDS
ROW216,Diamond,"2,3",BHSHCCB,DPCDDSS,HPSBPPT,TTPTTHH,PDPBCDD,PSSTCHC
ROW217,Blank,"1,2,3,6",BHSHDTD,DSBTDDS,TBBTSPP,SDTTCHD,HCCSHDS,BTSCSSD
ROW218,Blank,"3,5,6",BHTCSPD,CPPDDBC,PTSPTPC,DCHBCDP,SSHDPBD,PBSCPPD
ROW219,Blank,"5",BHTDTBS,DHTPDBT,CHDPSSB,SBSDSCH,HBDHBDH,STDTCSS
ROW220,Diamond,"2,4,5",BHTHHCC,SDPDTCP,PBSPPBD,TTSSCBC,HPBCBCH,SSCDBSD
ROW221,Blank,"1,2",BHTPBBD,SSBTHHH,CPDSHSS,DTCCTCS,DSPPCCP,BTBSHCD
ROW222,Blank,"6",BPBPPCP,CCHSHPH,PSHDPDP,DPCDCBC,TCBBPHP,PCCPCCT
ROW223,Clover,"4,6",BPBSBTP,HBHTDPD,CPCSBHB,HPBSTTC,PCSHSSD,CTDDBCD
ROW224,Plus,"1,2,3,5",BPBTPHP,HHCPSDH,TCCSCHS,CDCCPTH,HDHCHTD,CTTPPCC
ROW225,Blank,"3",BPBTSHB,DHPDTHP,PTPTCST,BTCSBCC,CPDSDSC,DDHBPCP
ROW226,Snake,"2,3,6",BPCDHBS,DTHTPHB,DTCHCDT,BTBDBCH,BHCBCTD,DCSDCBP
